position=< 31351, -51811> velocity=<-3,  5>
position=< 21001,  31317> velocity=<-2, -3>
position=<-41347, -41423> velocity=< 4,  4>
position=<-20557,  52103> velocity=< 2, -5>
position=<-30975,  41713> velocity=< 3, -4>
position=< 10618, -20633> velocity=<-1,  2>
position=< 31358, -10242> velocity=<-3,  1>
position=< 10564, -10247> velocity=<-1,  1>
position=<-20586, -31033> velocity=< 2,  3>
position=< 10617,  52095> velocity=<-1, -5>
position=<-30972, -51814> velocity=< 3,  5>
position=< 21000, -10244> velocity=<-2,  1>
position=<-30968,  20931> velocity=< 3, -2>
position=<-20573,  20926> velocity=< 2, -2>
position=<-10222, -41421> velocity=< 1,  4>
position=< 10561,  10531> velocity=<-1, -1>
position=<-10202, -31033> velocity=< 1,  3>
position=<-31004, -20633> velocity=< 3,  2>
position=<-51734,  10533> velocity=< 5, -1>
position=<-10198,  10540> velocity=< 1, -1>
position=< 52168,  20930> velocity=<-5, -2>
position=<-31001, -31024> velocity=< 3,  3>
position=<-10201,  52095> velocity=< 1, -5>
position=< 52124,  20926> velocity=<-5, -2>
position=<-20573, -20641> velocity=< 2,  2>
position=<-10190,  20927> velocity=< 1, -2>
position=< 52129, -31026> velocity=<-5,  3>
position=< 10568,  31315> velocity=<-1, -3>
position=< 52126,  41704> velocity=<-5, -4>
position=<-20610,  52095> velocity=< 2, -5>
position=< 10568,  10540> velocity=<-1, -1>
position=<-30988, -20639> velocity=< 3,  2>
position=< 31347,  10537> velocity=<-3, -1>
position=< 10579,  20926> velocity=<-1, -2>
position=<-20605,  31322> velocity=< 2, -3>
position=< 31382,  31319> velocity=<-3, -3>
position=< 20979, -20633> velocity=<-2,  2>
position=<-30976,  20931> velocity=< 3, -2>
position=< 20996,  10536> velocity=<-2, -1>
position=< 10604,  10538> velocity=<-1, -1>
position=<-20553, -31024> velocity=< 2,  3>
position=<-41338, -10242> velocity=< 4,  1>
position=< 41765,  41708> velocity=<-4, -4>
position=< 21007, -31029> velocity=<-2,  3>
position=< 41758, -20642> velocity=<-4,  2>
position=<-51743, -41419> velocity=< 5,  4>
position=<-10171, -41420> velocity=< 1,  4>
position=< 31366, -51808> velocity=<-3,  5>
position=<-51741, -20635> velocity=< 5,  2>
position=< 10569,  41708> velocity=<-1, -4>
position=< 41741,  52104> velocity=<-4, -5>
position=< 52144, -20642> velocity=<-5,  2>
position=< 41762,  10540> velocity=<-4, -1>
position=< 41733, -31030> velocity=<-4,  3>
position=< 31369,  10540> velocity=<-3, -1>
position=<-10196, -41415> velocity=< 1,  4>
position=< 31391, -20635> velocity=<-3,  2>
position=< 21002,  31317> velocity=<-2, -3>
position=<-51770, -31026> velocity=< 5,  3>
position=<-20587,  10531> velocity=< 2, -1>
position=< 31395, -10250> velocity=<-3,  1>
position=< 41786,  41712> velocity=<-4, -4>
position=< 41789,  20931> velocity=<-4, -2>
position=< 20967,  52100> velocity=<-2, -5>
position=< 10605,  31320> velocity=<-1, -3>
position=< 10609, -20640> velocity=<-1,  2>
position=< 52153, -20641> velocity=<-5,  2>
position=<-31004,  20928> velocity=< 3, -2>
position=< 41778,  31320> velocity=<-4, -3>
position=<-41363,  52099> velocity=< 4, -5>
position=< 41737,  31317> velocity=<-4, -3>
position=< 41758,  52101> velocity=<-4, -5>
position=<-51786, -51811> velocity=< 5,  5>
position=< 21002, -31029> velocity=<-2,  3>
position=< 41765, -31027> velocity=<-4,  3>
position=<-20565,  52103> velocity=< 2, -5>
position=< 21007, -10245> velocity=<-2,  1>
position=< 52124, -10243> velocity=<-5,  1>
position=< 41753, -41420> velocity=<-4,  4>
position=<-51754,  20924> velocity=< 5, -2>
position=<-30964, -51812> velocity=< 3,  5>
position=< 41775, -20639> velocity=<-4,  2>
position=< 31395,  41713> velocity=<-3, -4>
position=< 21007, -10244> velocity=<-2,  1>
position=< 10592,  20927> velocity=<-1, -2>
position=<-41377, -10247> velocity=< 4,  1>
position=<-20557,  10532> velocity=< 2, -1>
